iucn_sid,pop_trend,iucn_version,iucn_rgn
222,decreasing,2017-3,global
224,decreasing,2017-3,global
225,decreasing,2017-3,global
229,decreasing,2017-3,global
230,decreasing,2017-3,global
232,decreasing,2017-3,global
233,stable,2017-3,global
234,stable,2017-3,global
236,decreasing,2017-3,global
241,decreasing,2017-3,global
245,increasing,2017-3,global
697,unknown,2017-3,global
903,unknown,2017-3,global
904,stable,2017-3,global
907,decreasing,2017-3,global
1086,unknown,2017-3,global
1308,unknown,2017-3,global
1615,unknown,2017-3,global
1847,stable,2017-3,global
2055,increasing,2017-3,global
2057,decreasing,2017-3,global
2058,decreasing,2017-3,global
2059,increasing,2017-3,global
2060,increasing,2017-3,global
2061,increasing,2017-3,global
2062,stable,2017-3,global
2352,unknown,2017-3,global
2467,increasing,2017-3,global
2474,stable,2017-3,global
2475,unknown,2017-3,global
2477,increasing,2017-3,global
2478,unknown,2017-3,global
2539,decreasing,2017-3,global
2958,NA,2017-3,global
3381,stable,2017-3,global
3565,NA,2017-3,global
3590,decreasing,2017-3,global
3851,unknown,2017-3,global
3852,decreasing,2017-3,global
3853,decreasing,2017-3,global
3854,unknown,2017-3,global
3855,unknown,2017-3,global
3897,decreasing,2017-3,global
4159,unknown,2017-3,global
4160,decreasing,2017-3,global
4162,decreasing,2017-3,global
4292,decreasing,2017-3,global
4362,stable,2017-3,global
4364,stable,2017-3,global
4592,decreasing,2017-3,global
4615,decreasing,2017-3,global
4987,unknown,2017-3,global
5360,unknown,2017-3,global
5363,unknown,2017-3,global
5369,unknown,2017-3,global
5659,increasing,2017-3,global
5668,NA,2017-3,global
5675,unknown,2017-3,global
6204,unknown,2017-3,global
6229,unknown,2017-3,global
6335,unknown,2017-3,global
6336,unknown,2017-3,global
6494,decreasing,2017-3,global
6909,decreasing,2017-3,global
7011,NA,2017-3,global
7135,stable,2017-3,global
7750,decreasing,2017-3,global
7854,unknown,2017-3,global
7858,decreasing,2017-3,global
7859,decreasing,2017-3,global
7860,unknown,2017-3,global
7861,decreasing,2017-3,global
7862,decreasing,2017-3,global
8005,decreasing,2017-3,global
8010,unknown,2017-3,global
8097,stable,2017-3,global
8153,increasing,2017-3,global
8239,increasing,2017-3,global
8262,NA,2017-3,global
8407,unknown,2017-3,global
8408,unknown,2017-3,global
8784,NA,2017-3,global
8951,stable,2017-3,global
9266,stable,2017-3,global
9281,decreasing,2017-3,global
9461,unknown,2017-3,global
9660,increasing,2017-3,global
10030,unknown,2017-3,global
10057,unknown,2017-3,global
10063,unknown,2017-3,global
10066,decreasing,2017-3,global
10070,decreasing,2017-3,global
10072,decreasing,2017-3,global
10074,unknown,2017-3,global
10075,decreasing,2017-3,global
10082,decreasing,2017-3,global
10083,unknown,2017-3,global
10087,decreasing,2017-3,global
10088,decreasing,2017-3,global
10089,stable,2017-3,global
10097,NA,2017-3,global
10105,NA,2017-3,global
10269,decreasing,2017-3,global
10303,NA,2017-3,global
10340,unknown,2017-3,global
10708,unknown,2017-3,global
11030,unknown,2017-3,global
11130,decreasing,2017-3,global
11140,unknown,2017-3,global
11141,unknown,2017-3,global
11142,unknown,2017-3,global
11144,unknown,2017-3,global
11145,unknown,2017-3,global
11200,decreasing,2017-3,global
11206,unknown,2017-3,global
11375,unknown,2017-3,global
11533,NA,2017-3,global
11534,decreasing,2017-3,global
11696,unknown,2017-3,global
11987,decreasing,2017-3,global
12103,NA,2017-3,global
12125,unknown,2017-3,global
12137,decreasing,2017-3,global
12246,unknown,2017-3,global
12416,decreasing,2017-3,global
12417,decreasing,2017-3,global
12419,decreasing,2017-3,global
13006,increasing,2017-3,global
13045,NA,2017-3,global
13581,increasing,2017-3,global
13583,stable,2017-3,global
13653,increasing,2017-3,global
13654,decreasing,2017-3,global
13704,unknown,2017-3,global
14049,decreasing,2017-3,global
14050,decreasing,2017-3,global
14051,unknown,2017-3,global
14052,decreasing,2017-3,global
14053,decreasing,2017-3,global
14054,unknown,2017-3,global
14214,stable,2017-3,global
14264,decreasing,2017-3,global
14524,unknown,2017-3,global
14549,decreasing,2017-3,global
15106,unknown,2017-3,global
15239,unknown,2017-3,global
15269,unknown,2017-3,global
15319,NA,2017-3,global
15419,decreasing,2017-3,global
15873,unknown,2017-3,global
15939,NA,2017-3,global
16011,NA,2017-3,global
16012,unknown,2017-3,global
16474,unknown,2017-3,global
16564,unknown,2017-3,global
16781,stable,2017-3,global
17013,unknown,2017-3,global
17023,unknown,2017-3,global
17026,decreasing,2017-3,global
17027,unknown,2017-3,global
17028,decreasing,2017-3,global
17032,unknown,2017-3,global
17096,decreasing,2017-3,global
17177,decreasing,2017-3,global
17710,NA,2017-3,global
17978,decreasing,2017-3,global
18175,decreasing,2017-3,global
18376,unknown,2017-3,global
18510,NA,2017-3,global
18878,stable,2017-3,global
19301,NA,2017-3,global
19388,stable,2017-3,global
19488,decreasing,2017-3,global
19855,NA,2017-3,global
19861,unknown,2017-3,global
19877,unknown,2017-3,global
19899,unknown,2017-3,global
19950,decreasing,2017-3,global
20047,decreasing,2017-3,global
20084,NA,2017-3,global
20085,NA,2017-3,global
20317,unknown,2017-3,global
20425,decreasing,2017-3,global
20729,unknown,2017-3,global
20731,unknown,2017-3,global
20738,unknown,2017-3,global
20795,unknown,2017-3,global
21257,unknown,2017-3,global
21341,decreasing,2017-3,global
21342,unknown,2017-3,global
21343,decreasing,2017-3,global
21856,decreasing,2017-3,global
21857,decreasing,2017-3,global
21858,decreasing,2017-3,global
21859,decreasing,2017-3,global
21860,decreasing,2017-3,global
21994,unknown,2017-3,global
22003,decreasing,2017-3,global
22103,decreasing,2017-3,global
22135,NA,2017-3,global
22136,NA,2017-3,global
22137,NA,2017-3,global
22138,NA,2017-3,global
22140,NA,2017-3,global
22563,unknown,2017-3,global
23148,decreasing,2017-3,global
23211,unknown,2017-3,global
23259,stable,2017-3,global
29609,NA,2017-3,global
39302,NA,2017-3,global
39303,decreasing,2017-3,global
39304,NA,2017-3,global
39327,stable,2017-3,global
39328,decreasing,2017-3,global
39329,decreasing,2017-3,global
39330,decreasing,2017-3,global
39332,decreasing,2017-3,global
39334,stable,2017-3,global
39337,unknown,2017-3,global
39338,unknown,2017-3,global
39339,decreasing,2017-3,global
39341,decreasing,2017-3,global
39342,stable,2017-3,global
39345,unknown,2017-3,global
39346,unknown,2017-3,global
39348,unknown,2017-3,global
39349,unknown,2017-3,global
39350,unknown,2017-3,global
39351,increasing,2017-3,global
39352,decreasing,2017-3,global
39353,unknown,2017-3,global
39354,stable,2017-3,global
39355,stable,2017-3,global
39356,increasing,2017-3,global
39357,unknown,2017-3,global
39358,decreasing,2017-3,global
39359,unknown,2017-3,global
39362,unknown,2017-3,global
39365,unknown,2017-3,global
39367,unknown,2017-3,global
39368,unknown,2017-3,global
39369,unknown,2017-3,global
39370,decreasing,2017-3,global
39372,unknown,2017-3,global
39374,decreasing,2017-3,global
39375,decreasing,2017-3,global
39378,unknown,2017-3,global
39380,unknown,2017-3,global
39381,unknown,2017-3,global
39383,unknown,2017-3,global
39384,unknown,2017-3,global
39385,unknown,2017-3,global
39386,decreasing,2017-3,global
39387,stable,2017-3,global
39388,decreasing,2017-3,global
39389,decreasing,2017-3,global
39393,decreasing,2017-3,global
39394,decreasing,2017-3,global
39396,unknown,2017-3,global
39397,decreasing,2017-3,global
39399,decreasing,2017-3,global
39400,decreasing,2017-3,global
39412,unknown,2017-3,global
39413,decreasing,2017-3,global
39415,decreasing,2017-3,global
39416,unknown,2017-3,global
39418,decreasing,2017-3,global
39771,stable,2017-3,global
39773,unknown,2017-3,global
39774,decreasing,2017-3,global
40715,unknown,2017-3,global
40797,unknown,2017-3,global
40802,decreasing,2017-3,global
41005,decreasing,2017-3,global
41007,decreasing,2017-3,global
41008,decreasing,2017-3,global
41009,unknown,2017-3,global
41010,decreasing,2017-3,global
41064,decreasing,2017-3,global
41664,increasing,2017-3,global
41665,stable,2017-3,global
41666,increasing,2017-3,global
41668,decreasing,2017-3,global
41670,unknown,2017-3,global
41671,increasing,2017-3,global
41672,unknown,2017-3,global
41711,unknown,2017-3,global
41712,unknown,2017-3,global
41718,unknown,2017-3,global
41719,unknown,2017-3,global
41720,stable,2017-3,global
41722,unknown,2017-3,global
41723,unknown,2017-3,global
41724,unknown,2017-3,global
41725,unknown,2017-3,global
41726,unknown,2017-3,global
41727,unknown,2017-3,global
41728,unknown,2017-3,global
41729,unknown,2017-3,global
41730,unknown,2017-3,global
41732,unknown,2017-3,global
41734,decreasing,2017-3,global
41735,stable,2017-3,global
41736,unknown,2017-3,global
41737,unknown,2017-3,global
41738,unknown,2017-3,global
41739,stable,2017-3,global
41740,decreasing,2017-3,global
41741,unknown,2017-3,global
41743,stable,2017-3,global
41747,unknown,2017-3,global
41749,unknown,2017-3,global
41752,stable,2017-3,global
41753,stable,2017-3,global
41755,unknown,2017-3,global
41791,unknown,2017-3,global
41792,unknown,2017-3,global
41794,unknown,2017-3,global
41796,stable,2017-3,global
41797,decreasing,2017-3,global
41798,unknown,2017-3,global
41799,stable,2017-3,global
41800,stable,2017-3,global
41802,unknown,2017-3,global
41804,unknown,2017-3,global
41805,unknown,2017-3,global
41806,unknown,2017-3,global
41807,unknown,2017-3,global
41808,unknown,2017-3,global
41809,unknown,2017-3,global
41810,decreasing,2017-3,global
41811,unknown,2017-3,global
41814,unknown,2017-3,global
41816,decreasing,2017-3,global
41818,stable,2017-3,global
41820,unknown,2017-3,global
41823,unknown,2017-3,global
41824,unknown,2017-3,global
41825,unknown,2017-3,global
41826,stable,2017-3,global
41827,stable,2017-3,global
41828,unknown,2017-3,global
41829,unknown,2017-3,global
41830,unknown,2017-3,global
41831,unknown,2017-3,global
41832,unknown,2017-3,global
41833,unknown,2017-3,global
41835,decreasing,2017-3,global
41836,decreasing,2017-3,global
41837,unknown,2017-3,global
41838,unknown,2017-3,global
41839,unknown,2017-3,global
41841,unknown,2017-3,global
41842,unknown,2017-3,global
41844,unknown,2017-3,global
41846,stable,2017-3,global
41848,decreasing,2017-3,global
41849,decreasing,2017-3,global
41850,unknown,2017-3,global
41851,unknown,2017-3,global
41852,unknown,2017-3,global
41853,decreasing,2017-3,global
41858,unknown,2017-3,global
41862,stable,2017-3,global
41864,unknown,2017-3,global
41871,decreasing,2017-3,global
41872,decreasing,2017-3,global
41873,unknown,2017-3,global
41874,decreasing,2017-3,global
41876,decreasing,2017-3,global
41878,decreasing,2017-3,global
41880,decreasing,2017-3,global
42700,unknown,2017-3,global
42704,unknown,2017-3,global
42706,unknown,2017-3,global
42707,decreasing,2017-3,global
42712,decreasing,2017-3,global
42713,unknown,2017-3,global
42716,unknown,2017-3,global
42717,unknown,2017-3,global
42720,unknown,2017-3,global
42721,unknown,2017-3,global
42727,unknown,2017-3,global
42728,unknown,2017-3,global
42729,decreasing,2017-3,global
42730,unknown,2017-3,global
43974,decreasing,2017-3,global
44183,stable,2017-3,global
44186,unknown,2017-3,global
44217,unknown,2017-3,global
44222,unknown,2017-3,global
44223,unknown,2017-3,global
44463,decreasing,2017-3,global
44496,unknown,2017-3,global
44565,stable,2017-3,global
44566,unknown,2017-3,global
44575,decreasing,2017-3,global
44577,unknown,2017-3,global
44581,decreasing,2017-3,global
44582,unknown,2017-3,global
44583,unknown,2017-3,global
44586,unknown,2017-3,global
44591,unknown,2017-3,global
44598,unknown,2017-3,global
44599,unknown,2017-3,global
44602,unknown,2017-3,global
44606,stable,2017-3,global
44609,stable,2017-3,global
44611,unknown,2017-3,global
44618,unknown,2017-3,global
44619,unknown,2017-3,global
44620,unknown,2017-3,global
44642,decreasing,2017-3,global
44649,stable,2017-3,global
44650,stable,2017-3,global
44651,unknown,2017-3,global
44654,unknown,2017-3,global
44655,unknown,2017-3,global
44656,decreasing,2017-3,global
44657,unknown,2017-3,global
44668,unknown,2017-3,global
44669,unknown,2017-3,global
44670,unknown,2017-3,global
44673,unknown,2017-3,global
44674,decreasing,2017-3,global
44675,unknown,2017-3,global
44677,decreasing,2017-3,global
44681,decreasing,2017-3,global
44682,unknown,2017-3,global
44683,decreasing,2017-3,global
44684,decreasing,2017-3,global
44686,unknown,2017-3,global
44993,decreasing,2017-3,global
46863,NA,2017-3,global
46864,unknown,2017-3,global
46865,unknown,2017-3,global
60081,unknown,2017-3,global
60083,stable,2017-3,global
60085,stable,2017-3,global
60088,decreasing,2017-3,global
60090,unknown,2017-3,global
60091,unknown,2017-3,global
60092,stable,2017-3,global
60093,unknown,2017-3,global
60099,unknown,2017-3,global
60100,unknown,2017-3,global
60102,stable,2017-3,global
60103,unknown,2017-3,global
60104,decreasing,2017-3,global
60105,decreasing,2017-3,global
