iucn_rgn,meow_id,priority
persian_gulf,90,2
persian_gulf,91,2
southern_africa,192,3
southern_africa,193,3
southern_africa,194,3
gulf_of_mexico,43,4
gulf_of_mexico,68,4
gulf_of_mexico,69,4
gulf_of_mexico,70,4
northeastern_africa,87,7
northeastern_africa,88,7
northeastern_africa,89,7
northeastern_africa,90,7
northeastern_africa,91,7
northeastern_africa,92,7
northeastern_africa,93,7
northern_africa,87,8
northern_africa,88,8
northern_africa,32,8
northern_africa,33,8
northern_africa,35,8
northern_africa,36,8
northern_africa,28,8
northern_africa,29,8
western_africa,79,8
western_africa,80,8
western_africa,81,8
western_africa,82,8
western_africa,83,8
western_africa,84,8
western_africa,85,8
western_africa,86,8
mediterranean,30,8
mediterranean,31,8
mediterranean,32,8
mediterranean,33,8
mediterranean,34,8
mediterranean,35,8
mediterranean,36,8
mediterranean,44,8
eastern_africa,94,9
eastern_africa,95,9
eastern_africa,96,9
eastern_africa,97,9
eastern_africa,98,9
eastern_africa,99,9
eastern_africa,100,9
eastern_africa,101,9
eastern_africa,102,9
europe,2,14
europe,21,14
europe,22,14
europe,23,14
europe,24,14
europe,25,14
europe,26,14
europe,27,14
europe,30,14
europe,31,14
europe,34,14
europe,35,14
europe,36,14
europe,44,14
pan-africa,28,30
pan-africa,29,30
pan-africa,32,30
pan-africa,33,30
pan-africa,35,30
pan-africa,36,30
pan-africa,79,30
pan-africa,80,30
pan-africa,81,30
pan-africa,82,30
pan-africa,83,30
pan-africa,84,30
pan-africa,85,30
pan-africa,86,30
pan-africa,87,30
pan-africa,88,30
pan-africa,89,30
pan-africa,93,30
pan-africa,94,30
pan-africa,95,30
pan-africa,96,30
pan-africa,97,30
pan-africa,98,30
pan-africa,99,30
pan-africa,100,30
pan-africa,101,30
pan-africa,102,30
pan-africa,192,30
pan-africa,193,30
pan-africa,194,30
global,1,232
global,2,232
global,3,232
global,4,232
global,5,232
global,6,232
global,7,232
global,8,232
global,9,232
global,10,232
global,11,232
global,12,232
global,13,232
global,14,232
global,15,232
global,16,232
global,17,232
global,18,232
global,19,232
global,20,232
global,21,232
global,22,232
global,23,232
global,24,232
global,25,232
global,26,232
global,27,232
global,28,232
global,29,232
global,30,232
global,31,232
global,32,232
global,33,232
global,34,232
global,35,232
global,36,232
global,37,232
global,38,232
global,39,232
global,40,232
global,41,232
global,42,232
global,43,232
global,44,232
global,45,232
global,46,232
global,47,232
global,48,232
global,49,232
global,50,232
global,51,232
global,52,232
global,53,232
global,54,232
global,55,232
global,56,232
global,57,232
global,58,232
global,59,232
global,60,232
global,61,232
global,62,232
global,63,232
global,64,232
global,65,232
global,66,232
global,67,232
global,68,232
global,69,232
global,70,232
global,71,232
global,72,232
global,73,232
global,74,232
global,75,232
global,76,232
global,77,232
global,78,232
global,79,232
global,80,232
global,81,232
global,82,232
global,83,232
global,84,232
global,85,232
global,86,232
global,87,232
global,88,232
global,89,232
global,90,232
global,91,232
global,92,232
global,93,232
global,94,232
global,95,232
global,96,232
global,97,232
global,98,232
global,99,232
global,100,232
global,101,232
global,102,232
global,103,232
global,104,232
global,105,232
global,106,232
global,107,232
global,108,232
global,109,232
global,110,232
global,111,232
global,112,232
global,113,232
global,114,232
global,115,232
global,116,232
global,117,232
global,118,232
global,119,232
global,120,232
global,121,232
global,122,232
global,123,232
global,124,232
global,125,232
global,126,232
global,127,232
global,128,232
global,129,232
global,130,232
global,131,232
global,132,232
global,133,232
global,134,232
global,135,232
global,136,232
global,137,232
global,138,232
global,139,232
global,140,232
global,141,232
global,142,232
global,143,232
global,144,232
global,145,232
global,146,232
global,147,232
global,148,232
global,149,232
global,150,232
global,151,232
global,152,232
global,153,232
global,154,232
global,155,232
global,156,232
global,157,232
global,158,232
global,159,232
global,160,232
global,161,232
global,162,232
global,163,232
global,164,232
global,165,232
global,166,232
global,167,232
global,168,232
global,169,232
global,170,232
global,171,232
global,172,232
global,173,232
global,174,232
global,175,232
global,176,232
global,177,232
global,178,232
global,179,232
global,180,232
global,181,232
global,182,232
global,183,232
global,184,232
global,185,232
global,186,232
global,187,232
global,188,232
global,189,232
global,190,232
global,191,232
global,192,232
global,193,232
global,194,232
global,195,232
global,196,232
global,197,232
global,198,232
global,199,232
global,200,232
global,201,232
global,202,232
global,203,232
global,204,232
global,205,232
global,206,232
global,207,232
global,208,232
global,209,232
global,210,232
global,211,232
global,212,232
global,213,232
global,214,232
global,215,232
global,216,232
global,217,232
global,218,232
global,219,232
global,220,232
global,221,232
global,222,232
global,223,232
global,224,232
global,225,232
global,226,232
global,227,232
global,228,232
global,229,232
global,230,232
global,231,232
global,232,232
